Sample	Cell_type	Cell_type_wo_blank	Patient_ID_readable	Sex	Sequencing_exp	Raw_expr_path	Bam_path	Merged_bam_output_path	Merged_bam_path_after_liftover_if_required	Merged_bam_path_input_for_bigwig	Bigwig_path	RPKM_path
p024_RNAseq_Naive_Treg_Red1_S11_R1	Blood naive Treg	Blood_naive_Treg	?	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Treg_Red1_S11_R1.fastq_63939.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Naive_Treg_White1_S41_R1	Blood naive Treg	Blood_naive_Treg	Blood donor 5	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Treg_White1_S41_R1.fastq_65403.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Naive_Treg_Yellow1_S21_R1	Blood naive Treg	Blood_naive_Treg	Blood donor 3	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Treg_Yellow1_S21_R1.fastq_13466.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
Skin_CCR8pos_R1_S1_R1_001	Skin CCR8+ Treg	Skin_CCR8_Treg	New donor 1	Female	New	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-RNA-Seq-Skin-Fat-Nov17-Rawcounts.pasted.txt	/yyy/RNA_seq/evalrseq-Nov17-2020_agnes/Skin_CCR8pos_R1_S1_R1_001.fastq_21506.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/Delacher-RNA-Seq-Nov_2020_RNAseq_RPKM.txt
Skin_CCR8pos_R2_S9_R1_001	Skin CCR8+ Treg	Skin_CCR8_Treg	New donor 2	Female	New	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-RNA-Seq-Skin-Fat-Nov17-Rawcounts.pasted.txt	/yyy/RNA_seq/evalrseq-Nov17-2020_agnes/Skin_CCR8pos_R2_S9_R1_001.fastq_21733.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/Delacher-RNA-Seq-Nov_2020_RNAseq_RPKM.txt
Skin_CCR8pos_R3_S16_R1_001	Skin CCR8+ Treg	Skin_CCR8_Treg	New donor 3	Female	New	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-RNA-Seq-Skin-Fat-Nov17-Rawcounts.pasted.txt	/yyy/RNA_seq/evalrseq-Nov17-2020_agnes/Skin_CCR8pos_R3_S16_R1_001.fastq_40079.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/Delacher-RNA-Seq-Nov_2020_RNAseq_RPKM.txt
Skin_CCR8pos_R4_S25_R1_001	Skin CCR8+ Treg	Skin_CCR8_Treg	New donor 4	Female	New	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-RNA-Seq-Skin-Fat-Nov17-Rawcounts.pasted.txt	/yyy/RNA_seq/evalrseq-Nov17-2020_agnes/Skin_CCR8pos_R4_S25_R1_001.fastq_40638.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/Delacher-RNA-Seq-Nov_2020_RNAseq_RPKM.txt
Skin_CCR8pos_R5_S34_R1_001	Skin CCR8+ Treg	Skin_CCR8_Treg	New donor 5	Female	New	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-RNA-Seq-Skin-Fat-Nov17-Rawcounts.pasted.txt	/yyy/RNA_seq/evalrseq-Nov17-2020_agnes/Skin_CCR8pos_R5_S34_R1_001.fastq_56958.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_CCR8_Treg_merged_liftover.bam.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/Delacher-RNA-Seq-Nov_2020_RNAseq_RPKM.txt
p024_RNAseq_Skin_Tconv_Green9_S9_R1	Skin Tconv	Skin_Tconv	Donor 7	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Tconv_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Tconv_Green9_S9_R1.fastq_51265.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Tconv_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Skin_Tconv_Purple9_S39_R1	Skin Tconv	Skin_Tconv	Donor 11	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Tconv_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Tconv_Purple9_S39_R1.fastq_52360.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Tconv_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Skin_Tconv_Red9_S19_R1	Skin Tconv	Skin_Tconv	Donor 8	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Tconv_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Tconv_Red9_S19_R1.fastq_58814.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Tconv_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Skin_Tconv_Yellow9_S29_R1	Skin Tconv	Skin_Tconv	Donor 10	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Tconv_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Tconv_Yellow9_S29_R1.fastq_2332.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Tconv_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Skin_Treg_Green8_S8_R1	Skin Treg	Skin_Treg	Donor 7	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Treg_Green8_S8_R1.fastq_6134.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Skin_Treg_Purple8_S38_R1	Skin Treg	Skin_Treg	Donor 11	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Treg_Purple8_S38_R1.fastq_7006.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Skin_Treg_Red8_S18_R1	Skin Treg	Skin_Treg	Donor 8	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Treg_Red8_S18_R1.fastq_7926.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Skin_Treg_Yellow8_S28_R1	Skin Treg	Skin_Treg	Donor 10	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Skin_Treg_Yellow8_S28_R1.fastq_23224.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Skin_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Skin_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
